Dataset,Metric,P(True),SAPLMA-M,SAPLMA-UM,SAPLMA-F,P(IK),CCPS (Ours)
Contextual,ECE,0.428 ± 0.248,0.248 ± 0.190,0.235 ± 0.155,0.160 ± 0.129,0.277 ± 0.139,0.123 ± 0.060
Contextual,Brier,0.417 ± 0.239,0.272 ± 0.067,0.259 ± 0.059,0.222 ± 0.038,0.270 ± 0.122,0.174 ± 0.053
Contextual,AUROC,0.532 ± 0.055,0.591 ± 0.058,0.609 ± 0.080,0.612 ± 0.038,0.704 ± 0.128,0.752 ± 0.093
Synthesis,ECE,0.360 ± 0.170,0.213 ± 0.121,0.192 ± 0.122,0.177 ± 0.097,0.295 ± 0.144,0.104 ± 0.046
Synthesis,Brier,0.385 ± 0.138,0.281 ± 0.050,0.276 ± 0.036,0.266 ± 0.048,0.318 ± 0.108,0.212 ± 0.019
Synthesis,AUROC,0.479 ± 0.079,0.566 ± 0.079,0.587 ± 0.072,0.578 ± 0.069,0.664 ± 0.140,0.700 ± 0.126
Inference,ECE,0.488 ± 0.245,0.256 ± 0.214,0.244 ± 0.163,0.156 ± 0.111,0.278 ± 0.153,0.186 ± 0.040
Inference,Brier,0.449 ± 0.244,0.268 ± 0.070,0.242 ± 0.079,0.195 ± 0.061,0.257 ± 0.142,0.170 ± 0.078
Inference,AUROC,0.524 ± 0.053,0.562 ± 0.060,0.610 ± 0.054,0.596 ± 0.083,0.721 ± 0.138,0.791 ± 0.104
All Datasets,ECE,0.425 ± 0.214,0.239 ± 0.167,0.224 ± 0.139,0.164 ± 0.105,0.283 ± 0.135,0.138 ± 0.059
All Datasets,Brier,0.417 ± 0.199,0.274 ± 0.058,0.259 ± 0.058,0.228 ± 0.055,0.282 ± 0.119,0.185 ± 0.055
All Datasets,AUROC,0.512 ± 0.063,0.573 ± 0.063,0.602 ± 0.065,0.595 ± 0.063,0.697 ± 0.128,0.748 ± 0.108
