Dataset,Target AUROC,P(True),P(IK),SAPLMA-F,CCPS (Ours)
Contextual,≥ 0.65,99 (97 to 100),37 (0 to 93),76 (28 to 100),20 (0 to 70)
,≥ 0.7,100 (99 to 100),39 (0 to 99),100 (99 to 100),20 (0 to 70)
,≥ 0.75,100 (100 to 100),55 (0 to 100),100 (100 to 100),40 (0 to 100)
,≥ 0.8,100 (100 to 100),79 (30 to 100),100 (100 to 100),59 (0 to 100)
,≥ 0.85,100 (100 to 100),79 (30 to 100),100 (100 to 100),76 (28 to 100)
Synthesis,≥ 0.65,99 (98 to 100),36 (0 to 92),79 (30 to 100),35 (0 to 89)
,≥ 0.7,100 (100 to 100),40 (0 to 100),100 (99 to 100),37 (0 to 95)
,≥ 0.75,100 (100 to 100),74 (26 to 100),100 (99 to 100),40 (0 to 100)
,≥ 0.8,100 (100 to 100),76 (28 to 100),100 (99 to 100),76 (36 to 100)
,≥ 0.85,100 (100 to 100),79 (36 to 100),100 (99 to 100),93 (84 to 100)
Inference,≥ 0.65,92 (77 to 100),19 (0 to 68),69 (23 to 100),20 (0 to 69)
,≥ 0.7,99 (98 to 100),39 (0 to 85),77 (30 to 100),20 (0 to 69)
,≥ 0.75,99 (98 to 100),47 (0 to 99),88 (61 to 100),20 (0 to 70)
,≥ 0.8,100 (99 to 100),50 (0 to 100),98 (94 to 100),39 (0 to 97)
,≥ 0.85,100 (100 to 100),62 (19 to 100),98 (94 to 100),63 (18 to 100)
Merged,≥ 0.65,97 (92 to 100),31 (7 to 55),75 (53 to 96),25 (2 to 48)
,≥ 0.7,100 (99 to 100),39 (14 to 64),92 (79 to 100),26 (2 to 49)
,≥ 0.75,100 (100 to 100),58 (34 to 83),96 (88 to 100),33 (7 to 59)
,≥ 0.8,100 (100 to 100),68 (45 to 91),99 (98 to 100),58 (32 to 83)
,≥ 0.85,100 (100 to 100),74 (53 to 94),99 (98 to 100),77 (59 to 95)
