,train,test_contextual,test_synthesis,test_inference,test_all
n_records,,1458.0,764.0,612.0,2834.0
ehr_word_mean,,432.1,427.1,417.8,427.7
ehr_word_median,,386.0,381.0,381.0,386.0
ehr_word_q25,,295.0,290.0,290.0,290.0
ehr_word_q75,,527.0,527.0,527.0,527.0
ehr_char_mean,,2772.2,2740.2,2684.6,2744.7
ehr_char_median,,2498.0,2480.0,2478.0,2480.0
ehr_char_q25,,1916.2,1916.0,1861.0,1916.0
ehr_char_q75,,3424.0,3424.0,3424.0,3424.0
question_word_mean,,27.4,47.0,36.0,34.5
question_word_median,,24.0,38.0,35.0,30.0
question_word_q25,,19.0,28.0,30.0,23.0
question_word_q75,,30.0,54.0,40.0,40.0
question_char_mean,,191.7,320.3,248.1,238.5
question_char_median,,168.0,262.0,239.5,205.0
question_char_q25,,135.2,194.8,206.0,157.0
question_char_q75,,215.8,371.2,277.2,274.0
options_word_mean,,87.6,78.2,102.8,88.4
options_word_median,,84.0,83.0,100.0,88.0
options_word_q25,,64.0,23.8,82.0,63.0
options_word_q75,,106.0,114.0,124.0,113.0
options_char_mean,,584.1,529.2,759.8,607.2
options_char_median,,559.0,586.0,740.5,602.5
options_char_q25,,432.0,145.5,605.0,440.0
options_char_q75,,700.8,771.5,902.0,777.0
full_word_mean,,547.1,552.3,556.5,550.5
full_word_median,,504.5,513.5,519.0,510.0
full_word_q25,,408.2,420.0,434.8,417.0
full_word_q75,,649.8,658.2,666.5,658.8
full_char_mean,,3550.0,3591.7,3694.6,3592.5
full_char_median,,3314.5,3392.5,3473.5,3380.5
full_char_q25,,2616.0,2737.8,2885.8,2697.5
full_char_q75,,4229.8,4235.2,4442.5,4281.8
ans_A,,365.0,179.0,152.0,696.0
ans_B,,345.0,185.0,140.0,670.0
ans_C,,378.0,198.0,165.0,741.0
ans_D,,370.0,202.0,155.0,727.0
ans_E,,0.0,0.0,0.0,0.0
