model,dataset,n,n_correct,pct_correct,n_incorrect,pct_incorrect
Llama-3.2-1B-Instruct,test_contextual,1458,586,40.19,872,59.81
Llama-3.2-1B-Instruct,test_synthesis,764,251,32.85,513,67.15
Llama-3.2-1B-Instruct,test_inference,612,313,51.14,299,48.86
Llama-3.2-1B-Instruct,test_all,2834,1150,40.58,1684,59.42
Llama-3.2-3B-Instruct,test_contextual,1458,1268,86.97,190,13.03
Llama-3.2-3B-Instruct,test_synthesis,764,495,64.79,269,35.21
Llama-3.2-3B-Instruct,test_inference,612,548,89.54,64,10.46
Llama-3.2-3B-Instruct,test_all,2834,2311,81.55,523,18.45
Qwen2.5-0.5B-Instruct,test_contextual,1458,668,45.82,790,54.18
Qwen2.5-0.5B-Instruct,test_synthesis,764,282,36.91,482,63.09
Qwen2.5-0.5B-Instruct,test_inference,612,276,45.1,336,54.9
Qwen2.5-0.5B-Instruct,test_all,2834,1226,43.26,1608,56.74
Qwen2.5-1.5B-Instruct,test_contextual,1458,1153,79.08,305,20.92
Qwen2.5-1.5B-Instruct,test_synthesis,764,456,59.69,308,40.31
Qwen2.5-1.5B-Instruct,test_inference,612,534,87.25,78,12.75
Qwen2.5-1.5B-Instruct,test_all,2834,2143,75.62,691,24.38
Qwen2.5-3B-Instruct,test_contextual,1458,1301,89.23,157,10.77
Qwen2.5-3B-Instruct,test_synthesis,764,538,70.42,226,29.58
Qwen2.5-3B-Instruct,test_inference,612,570,93.14,42,6.86
Qwen2.5-3B-Instruct,test_all,2834,2409,85.0,425,15.0
