Dataset,Metric,CCPS (Ours),P(IK),P(True),SAPLMA-F,SAPLMA-M,SAPLMA-UM
Clinical Inference,AUCPR,0.863 ± 0.170,0.824 ± 0.207,0.747 ± 0.221,0.791 ± 0.193,0.783 ± 0.185,0.793 ± 0.187
Clinical Inference,AUROC,0.791 ± 0.104,0.721 ± 0.138,0.524 ± 0.053,0.596 ± 0.083,0.562 ± 0.060,0.609 ± 0.054
Clinical Inference,Brier,0.170 ± 0.078,0.257 ± 0.142,0.449 ± 0.244,0.195 ± 0.060,0.268 ± 0.070,0.242 ± 0.079
Clinical Inference,ECE,0.186 ± 0.040,0.278 ± 0.153,0.488 ± 0.245,0.156 ± 0.111,0.256 ± 0.214,0.244 ± 0.163
Contextual,AUCPR,0.815 ± 0.208,0.780 ± 0.242,0.704 ± 0.228,0.742 ± 0.220,0.738 ± 0.216,0.740 ± 0.209
Contextual,AUROC,0.752 ± 0.093,0.704 ± 0.128,0.532 ± 0.055,0.612 ± 0.038,0.592 ± 0.058,0.609 ± 0.080
Contextual,Brier,0.174 ± 0.053,0.270 ± 0.122,0.417 ± 0.239,0.222 ± 0.038,0.272 ± 0.066,0.259 ± 0.059
Contextual,ECE,0.123 ± 0.060,0.278 ± 0.140,0.428 ± 0.248,0.160 ± 0.129,0.248 ± 0.190,0.235 ± 0.155
Synthesis,AUCPR,0.695 ± 0.262,0.667 ± 0.271,0.523 ± 0.153,0.584 ± 0.209,0.587 ± 0.190,0.595 ± 0.207
Synthesis,AUROC,0.699 ± 0.127,0.664 ± 0.140,0.479 ± 0.078,0.578 ± 0.069,0.566 ± 0.080,0.586 ± 0.072
Synthesis,Brier,0.212 ± 0.019,0.318 ± 0.108,0.385 ± 0.138,0.267 ± 0.048,0.282 ± 0.050,0.276 ± 0.036
Synthesis,ECE,0.104 ± 0.046,0.295 ± 0.144,0.360 ± 0.170,0.177 ± 0.097,0.214 ± 0.121,0.192 ± 0.121
All Datasets,AUCPR,0.791 ± 0.214,0.757 ± 0.234,0.658 ± 0.214,0.706 ± 0.213,0.703 ± 0.202,0.709 ± 0.205
All Datasets,AUROC,0.747 ± 0.108,0.696 ± 0.128,0.512 ± 0.063,0.595 ± 0.063,0.573 ± 0.063,0.602 ± 0.065
All Datasets,Brier,0.185 ± 0.055,0.282 ± 0.119,0.417 ± 0.199,0.228 ± 0.055,0.274 ± 0.058,0.259 ± 0.058
All Datasets,ECE,0.138 ± 0.059,0.283 ± 0.135,0.425 ± 0.214,0.164 ± 0.105,0.239 ± 0.167,0.224 ± 0.139
