Dataset,Method,CV_Safety_Rate,CV_Yield_pct,CV_Yield_CI
Contextual,P(True),0.00,0.6 ± 0.4,"[0.0, 3.4]"
Contextual,SAPLMA-F,0.00,5.1 ± 7.3,"[0.0, 18.0]"
Contextual,P(IK),0.57,54.9 ± 18.8,"[50.0, 59.5]"
Contextual,CCPS (Ours),0.70,59.5 ± 16.5,"[55.5, 64.5]"
Synthesis,P(True),0.00,0.0 ± 0.0,"[0.0, 0.0]"
Synthesis,SAPLMA-F,0.00,0.0 ± 0.0,"[0.0, 0.0]"
Synthesis,P(IK),0.53,21.5 ± 14.2,"[15.7, 28.5]"
Synthesis,CCPS (Ours),0.53,24.0 ± 10.1,"[17.8, 30.1]"
Clinical Inference,P(True),0.00,4.3 ± 3.1,"[0.0, 14.7]"
Clinical Inference,SAPLMA-F,0.10,25.5 ± 32.2,"[5.3, 42.8]"
Clinical Inference,P(IK),0.67,68.2 ± 21.0,"[60.9, 76.2]"
Clinical Inference,CCPS (Ours),0.63,77.9 ± 11.9,"[72.9, 84.5]"
